date,regime,exposure,strategy_equity,benchmark_equity,drawdown
2025-02-03,high,0.25,0.9980923991054107,0.9923914023153333,0.0
2025-02-04,mid,0.75,1.003495854164361,0.9995613129248594,0.0
2025-02-05,mid,0.75,1.0064361720171933,1.003468271171178,0.0
2025-02-06,mid,0.75,1.0091857363589438,1.0071252093099954,0.0
2025-02-07,mid,0.75,1.0020134440646102,0.9975930007303369,-0.007107009181689938
2025-02-10,mid,0.75,1.0070537654552585,1.0042893847347083,-0.0021125654345623968
2025-02-11,mid,0.75,1.0073102381642751,1.0046304241247983,-0.0018584271726187485
2025-02-12,low,1.0,1.0045664593354795,1.0018939447522655,-0.004577231779087865
2025-02-13,low,1.0,1.0150403626967062,1.0123399836957467,0.0
2025-02-14,mid,0.75,1.0149855928028118,1.0122671521028406,-5.395834087706941e-05
2025-02-18,low,1.0,1.0174672201690778,1.014742132914828,0.0
2025-02-19,low,1.0,1.019885708606664,1.017154143903426,0.0
2025-02-20,low,1.0,1.0154653351890204,1.0127456095927536,-0.0043341850761714484
2025-02-21,low,1.0,0.9981373060472937,0.995463990193198,-0.021324352695442972
2025-02-24,mid,0.75,0.9944151027502028,0.9905174236046306,-0.02497398055636868
2025-02-25,mid,0.75,0.9909228607868883,0.9858820685950741,-0.02839813086443166
2025-02-26,mid,0.75,0.9910239512446524,0.9860161724936659,-0.028299011466139334
2025-02-27,mid,0.75,0.9792087972060967,0.9703734660199397,-0.03988379389700325
2025-02-28,high,0.25,0.9830670632853263,0.9857579073001752,-0.03610075620300446
2025-03-03,high,0.25,0.9787135353226463,0.9684117822278792,-0.04036939917538973
2025-03-04,high,0.25,0.9757061040606084,0.9565634319927933,-0.04331819161032491
2025-03-05,high,0.25,0.9784168305199116,0.9672379891528623,-0.04066031883455434
2025-03-06,high,0.25,0.9740287951680408,0.9500027685705411,-0.0449627963718322
2025-03-07,high,0.25,0.975370331239774,0.9552473707673714,-0.04364741754025114
2025-03-10,high,0.25,0.9687255487483774,0.9294813962163953,-0.05016264021208805
2025-03-11,high,0.25,0.9668875281613043,0.9224472061889886,-0.05196482311509598
2025-03-12,high,0.25,0.9680666329530764,0.9269550857024154,-0.050808708482032894
2025-03-13,high,0.25,0.9646871278282085,0.9140787672464774,-0.05412232009198947
2025-03-14,high,0.25,0.9697754553691805,0.9335174466423712,-0.04913320464696236
2025-03-17,high,0.25,0.9713272781050154,0.9395070166085947,-0.04761163931592649
2025-03-18,high,0.25,0.9687298663844741,0.9294979672225505,-0.05015840676116279
2025-03-19,high,0.25,0.9713345487836867,0.9395351469019702,-0.04760451040078428
2025-03-20,high,0.25,0.9708035479668541,0.9374823629931447,-0.048125157775633864
2025-03-21,high,0.25,0.9710036302262424,0.9382554610559132,-0.04792897671563878
2025-03-24,high,0.25,0.9752591555209991,0.9548119170592856,-0.04375642555736203
2025-03-25,high,0.25,0.9756427748947353,0.9563151094029958,-0.04338028598554633
2025-03-26,high,0.25,0.9729100189907544,0.9456455639618615,-0.046059758676377904
2025-03-27,high,0.25,0.9721046708719696,0.9425183321807734,-0.04684940413565686
2025-03-28,high,0.25,0.967272093096052,0.9239156398368612,-0.051587756418796205
2025-03-31,high,0.25,0.9686086347041155,0.9290327665375616,-0.050277274668944605
2025-04-01,high,0.25,0.9695229735526989,0.9325456581740941,-0.049380763578665166
2025-04-02,high,0.25,0.9711496598748871,0.9388200069436564,-0.047785794349798794
2025-04-03,high,0.25,0.9591803408011306,0.893385218096671,-0.05952173590947474
2025-04-04,high,0.25,0.9445199817468569,0.8400058038938638,-0.0738962476126559
2025-04-07,high,0.25,0.9439689691721612,0.838047353468858,-0.0744365165565638
2025-04-08,high,0.25,0.9402417500907386,0.8248895704108122,-0.07809106240417119
2025-04-09,high,0.25,0.9618521446897002,0.9033810106777912,-0.056902026793029026
2025-04-10,high,0.25,0.9534200679252733,0.8721171804554286,-0.06516969511436133
2025-04-11,high,0.25,0.957703457331871,0.8878956075112742,-0.06096982313806942
2025-04-14,high,0.25,0.959599986012405,0.8949496827460669,-0.059110272931090835
2025-04-15,high,0.25,0.9591852225533841,0.8934034057863535,-0.059516949341516856
2025-04-16,high,0.25,0.953766024558411,0.8733836903307377,-0.0648304839358751
2025-04-17,high,0.25,0.9540822405380097,0.8745425290831269,-0.06452043352833414
2025-04-21,high,0.25,0.9484105343856061,0.8539317541299198,-0.07008155288174889
2025-04-22,high,0.25,0.9543106045001819,0.8753801328186359,-0.0642965222015599
2025-04-23,high,0.25,0.9582609830705761,0.8899649624262547,-0.06042316802367753
2025-04-24,high,0.25,0.9630779204544606,0.9079948637964343,-0.05570015117655913
2025-04-25,high,0.25,0.9648482586057795,0.9146896311172785,-0.05396433103869536
2025-04-28,high,0.25,0.9650027676744966,0.9152756788959351,-0.05381283458432484
2025-04-29,high,0.25,0.966399567630016,0.9205864842832095,-0.052443269402920656
2025-04-30,high,0.25,0.9667569351058768,0.9219489443258657,-0.052092869870066116
2025-05-01,high,0.25,0.9682757772156227,0.9277563948927355,-0.050603642109613545
2025-05-02,high,0.25,0.971821104154085,0.941419068216366,-0.04712744187605433
2025-05-05,high,0.25,0.9702669371139434,0.9354113105604601,-0.048651305802204226
2025-05-06,high,0.25,0.9683954051042414,0.9282149671752623,-0.05048634672287644
2025-05-07,high,0.25,0.9694459422493389,0.9322493200835344,-0.04945629292740483
2025-05-08,high,0.25,0.9708485375061213,0.9376561564723322,-0.04808104544139136
2025-05-09,high,0.25,0.9706758063629239,0.9369890320147802,-0.04825040867664376
2025-05-12,high,0.25,0.978482136503779,0.9674962543463531,-0.04059628618529143
2025-05-13,high,0.25,0.9802503962679882,0.9745088616486699,-0.038862503910192414
2025-05-14,high,0.25,0.9805013458337448,0.9755071637267954,-0.0386164473534244
2025-05-15,high,0.25,0.9815127192212354,0.9795382832680127,-0.03762479370149474
2025-05-16,high,0.25,0.9832271629316869,0.9864002156655826,-0.03594377817594763
2025-05-19,high,0.25,0.9834424467713102,0.987264413845116,-0.03573269193578699
2025-05-20,high,0.25,0.982487059889472,0.9834336013929346,-0.03666945070569205
2025-05-21,high,0.25,0.9784997127199331,0.9675657717380278,-0.04057905266980466
2025-05-22,high,0.25,0.9783908680143472,0.9671353297488767,-0.04068577512376925
2025-05-23,high,0.25,0.9767458897519867,0.9606474979195306,-0.04229867963696976
2025-05-27,high,0.25,0.9817038368272154,0.9803014387270883,-0.037437402502297434
2025-05-28,high,0.25,0.9803336475408658,0.9748399584350668,-0.03878087586876078
2025-05-29,high,0.25,0.9813152494242781,0.9787502308826165,-0.03781841323679258
2025-05-30,high,0.25,0.9812953317586827,0.9786707708872483,-0.03783794254819228
2025-06-02,high,0.25,0.9823001160999981,0.9826853194223107,-0.03685274946936368
2025-06-03,high,0.25,0.9837214347987433,0.9883851797004368,-0.03545914361063762
2025-06-04,high,0.25,0.9837395562813519,0.988458011293343,-0.03544137546028936
2025-06-05,high,0.25,0.982439087089475,0.983241539389888,-0.03671648813311379
2025-06-06,mid,0.75,0.9900045025114859,0.9933499339786866,-0.029298583010836432
2025-06-09,mid,0.75,0.9906874885490152,0.9942637643425091,-0.028628913819704782
2025-06-10,mid,0.75,0.9947586494870199,0.9997153020308375,-0.024637132286098873
2025-06-11,mid,0.75,0.9927108160925833,0.9969721942558426,-0.026645037071071576
2025-06-12,mid,0.75,0.9955553766920763,1.0007830406664615,-0.023855939650166302
2025-06-13,mid,0.75,0.9871087813836583,0.9894778152623817,-0.03213784343324555
2025-06-16,mid,0.75,0.9940543317681836,0.9987716438559359,-0.025327717233895153
2025-06-17,mid,0.75,0.9878209139131866,0.9904297185232729,-0.031439596047760365
2025-06-18,mid,0.75,0.9875917995957427,0.9901234378290206,-0.03166424309939608
2025-06-20,mid,0.75,0.9859776407869626,0.9879662969985061,-0.033246929076029
2025-06-23,low,1.0,0.9954494390683822,0.9974571993140413,-0.02395981170445638
2025-06-24,mid,0.75,1.0037412813969817,1.0085506391760413,-0.015829643531075854
2025-06-25,mid,0.75,1.0037388075980758,1.00854732497481,-0.015832069095906398
2025-06-26,mid,0.75,1.009770355192424,1.016635996832917,-0.009918124480888357
2025-06-27,mid,0.75,1.0137202538672363,1.0219417905012567,-0.006045240841594635
2025-06-30,mid,0.75,1.0176441880737437,1.0272195347103974,-0.002197815415986737
2025-07-01,low,1.0,1.0165059214137542,1.0260705577275249,-0.003313888178242186
2025-07-02,low,1.0,1.0213293403995765,1.0309393618384275,0.0
2025-07-03,low,1.0,1.0298461600203623,1.0395363189975264,0.0
2025-07-07,mid,0.75,1.0237674546967515,1.0313631754251167,-0.005902537252253981
2025-07-08,mid,0.75,1.0232177292262379,1.0306248360581858,-0.006436331028309539
2025-07-09,mid,0.75,1.0278663516404911,1.0368725903837235,-0.0019224311909189495
2025-07-10,low,1.0,1.0306890833592672,1.0397200550804075,0.0
2025-07-11,low,1.0,1.0272903624394873,1.0362915543240017,-0.0032975229626985847
2025-07-14,low,1.0,1.028736185081907,1.0377500453681812,-0.0018947501325959903
2025-07-15,low,1.0,1.024666197949438,1.033644396716354,-0.005843552150760267
2025-07-16,low,1.0,1.0279386307528042,1.0369455028108063,-0.002668557037102448
2025-07-17,low,1.0,1.0334625338651027,1.042517806758626,0.0
2025-07-18,low,1.0,1.0333690197585956,1.0424234732748066,-9.048620868457036e-05
2025-07-21,low,1.0,1.0348148424010155,1.043881964318986,0.0
2025-07-22,low,1.0,1.0354745695979914,1.0445474720930108,0.0
