variant,parameter,value
GARCH,omega,2.353736935624893e-06
GARCH,alpha[1],0.1
GARCH,beta[1],0.88
GARCH_t,omega,2.2419157062402762e-06
GARCH_t,alpha[1],0.1280190276885051
GARCH_t,beta[1],0.8381929783356595
GARCH_t,nu,6.627299592917104
GJR,omega,2.353736935624893e-06
GJR,alpha[1],0.01
GJR,gamma[1],0.2
GJR,beta[1],0.87
GJR_t,omega,2.353736935624893e-06
GJR_t,alpha[1],0.01
GJR_t,gamma[1],0.2
GJR_t,beta[1],0.87
GJR_t,nu,6.138417641919486
EGARCH,omega,-0.4627242696789011
EGARCH,alpha[1],0.21602708131922876
EGARCH,gamma[1],-0.16196291827770634
EGARCH,beta[1],0.9503554524180101
EGARCH_t,omega,-0.33573304401584997
EGARCH_t,alpha[1],0.17882787736738864
EGARCH_t,gamma[1],-0.19179684203208414
EGARCH_t,beta[1],0.9639757935105059
EGARCH_t,nu,5.91969542120558
