trend_window,trend_threshold,rebalance,state_confirm,matrix_name,sizing_mode,train_excess_return,train_max_drawdown,train_benchmark_drawdown,train_pass_dd,train_sharpe,holdout_excess_return,holdout_max_drawdown,holdout_benchmark_drawdown,holdout_pass_dd,holdout_sharpe
21,0.15,daily,1,aggressive,matrix,0.07101728710561932,-0.08858430898143954,-0.19778210435681942,True,1.7816695563254057,0.06820849552100361,-0.09034286673012015,-0.3392496000265326,True,2.0853248328794822
21,0.25,daily,1,aggressive,matrix,0.0667398455289173,-0.08890826661599294,-0.19778210435681942,True,1.7208329205452744,0.068058025835953,-0.09138550468642959,-0.3392496000265326,True,2.101449449485635
21,0.35,daily,1,aggressive,matrix,0.06336772943961493,-0.0913863561114776,-0.19778210435681942,True,1.697682271982051,0.06628623883540213,-0.09138550468642981,-0.3392496000265326,True,2.111702590416426
21,0.15,daily,1,default,matrix,0.06216836110916353,-0.07298831578817433,-0.19778210435681942,True,1.9555139729556466,0.053824958673778955,-0.06021007665582612,-0.3392496000265326,True,2.289778149087555
21,0.25,daily,1,default,matrix,0.05789091953246152,-0.07298831578817433,-0.19778210435681942,True,1.886006057562111,0.05367448898872823,-0.05814798162675394,-0.3392496000265326,True,2.3167442997701357
21,0.5,daily,1,aggressive,matrix,0.05598366879901863,-0.08858430898143954,-0.19778210435681942,True,1.6330611665080985,0.0603155151605245,-0.0913855046864297,-0.3392496000265326,True,2.055584067620239
21,0.35,daily,1,default,matrix,0.05451880344315917,-0.07482228963846171,-0.19778210435681942,True,1.8634567008067537,0.0519027019881774,-0.05294343827350401,-0.3392496000265326,True,2.3357139987022535
21,0.5,daily,1,default,matrix,0.04713474280256276,-0.07298831578817433,-0.19778210435681942,True,1.7930384431299655,0.04593197831329979,-0.06719550521105555,-0.3392496000265326,True,2.2802308103819597
42,0.35,daily,1,aggressive,matrix,0.04228873069124463,-0.08858430898143954,-0.19778210435681942,True,1.4534575650855392,0.016252883879346314,-0.10473774962853666,-0.3392496000265326,True,1.5728042942146676
42,0.5,daily,1,aggressive,matrix,0.03787653950175572,-0.08858430898143954,-0.19778210435681942,True,1.4153882478915258,0.008369553441406385,-0.10771604589483952,-0.3392496000265326,True,1.5129480631090189
42,0.25,daily,1,aggressive,matrix,0.037856089560001124,-0.08858430898143954,-0.19778210435681942,True,1.3870208512570947,0.0143744219798419,-0.09721302660648612,-0.3392496000265326,True,1.5441348808139206
42,0.15,daily,1,aggressive,matrix,0.03418711232738798,-0.08858430898143954,-0.19778210435681942,True,1.338712262605289,0.01796685820281846,-0.09530133748224812,-0.3392496000265326,True,1.5747412024191565
