variant,parameter,value
GARCH,omega,6.421501731816845e-06
GARCH,alpha[1],0.07049443024879384
GARCH,beta[1],0.8316628781984476
GARCH_t,omega,6.563087764399501e-06
GARCH_t,alpha[1],0.05
GARCH_t,beta[1],0.85
GARCH_t,nu,7.660490906247358
GJR,omega,5.625361492101937e-06
GJR,alpha[1],0.00861075244857871
GJR,gamma[1],0.14416642452855513
GJR,beta[1],0.831027566887955
GJR_t,omega,6.563087764399501e-06
GJR_t,alpha[1],0.01
GJR_t,gamma[1],0.2
GJR_t,beta[1],0.79
GJR_t,nu,7.23508118874489
EGARCH,omega,-0.8873256282370338
EGARCH,alpha[1],-0.020967074755553615
EGARCH,gamma[1],-0.27715440781988093
EGARCH,beta[1],0.9100458507461052
EGARCH_t,omega,-0.8226283637395815
EGARCH_t,alpha[1],-0.02376670491302109
EGARCH_t,gamma[1],-0.30850980709989434
EGARCH_t,beta[1],0.9167813421406813
EGARCH_t,nu,6.270999823706001
