variant,parameter,value
GARCH,omega,3.817288019805635e-06
GARCH,alpha[1],0.09987268215071132
GARCH,beta[1],0.8710796029262595
GARCH_t,omega,3.372918584523807e-06
GARCH_t,alpha[1],0.1
GARCH_t,beta[1],0.88
GARCH_t,nu,8.516024687497989
GJR,omega,4.047007740637941e-06
GJR,alpha[1],0.05091480241424895
GJR,gamma[1],0.1222788805393598
GJR,beta[1],0.8624109788685721
GJR_t,omega,3.372918584523807e-06
GJR_t,alpha[1],0.05
GJR_t,gamma[1],0.1
GJR_t,beta[1],0.8799999999999999
GJR_t,nu,7.710784408697965
EGARCH,omega,-0.39646564725508343
EGARCH,alpha[1],0.20156278242382514
EGARCH,gamma[1],-0.12280318815758826
EGARCH,beta[1],0.9559325502686012
EGARCH_t,omega,-0.2737378421825402
EGARCH_t,alpha[1],0.15268237822147196
EGARCH_t,gamma[1],-0.15942580981771387
EGARCH_t,beta[1],0.9697260981919289
EGARCH_t,nu,7.965236784378491
